category,title,press,publishYear,author,price,stock
Others,Compiler Designs,Press-F,2019,DaDa,99.61,29
Philosophy,Database System Concepts,Press-D,2011,Erica,84.95,39
Philosophy,The Old Man and the Sea,Press-F,2000,ColaOtaku,133.11,53
Philosophy,Operating System,Press-C,2020,DouDou,122.42,7
Novel,The Old Man and the Sea,Press-H,2016,DouDou,218.69,79
Nature,The Old Man and the Sea,Press-C,2005,ZaiZai,161.00,78
Others,The Old Man and the Sea,Press-B,2020,Nonehyo,142.03,94
Computer Science,How steel is made,Press-F,2007,ZaiZai,96.22,21
Dictionary,Operating System,Press-B,2007,Nonehyo,148.16,40
Computer Science,Operating System,Press-B,2007,ZaiZai,205.97,92
